employee_num,year,perf_review_score
6773,1999,4
6773,2000,3
6773,2001,4
6773,2002,3
8878,1999,3
8878,2000,3
8878,2001,3
8878,2002,3
8878,2003,4
8878,2004,3
8878,2005,5
8878,2006,3
8878,2007,3
41637,1999,4
41637,2000,3
41637,2001,3
17198,1999,3
21103,1999,3
21103,2000,5
21103,2001,2
21103,2002,5
21103,2003,4
21103,2004,3
21103,2005,5
21103,2006,4
21103,2007,5
21103,2008,3
21103,2009,3
21103,2010,3
14721,1999,3
14721,2000,3
14721,2001,3
14721,2002,3
14721,2003,4
14721,2004,3
14721,2005,4
14721,2006,3
14721,2007,3
14721,2008,3
14721,2009,4
14721,2009,4
14721,2009,3
14721,2009,3
14721,2010,5
14721,2010,3
14721,2010,3
14721,2010,3
14721,2011,3
14721,2011,4
14721,2011,4
14721,2011,4
14721,2012,4
14721,2012,3
14721,2012,3
14721,2012,3
14721,2013,4
14721,2013,4
14721,2013,4
14721,2013,5
14721,2014,4
14721,2014,4
14721,2014,4
12427,1999,3
12427,2000,3
12427,2001,3
12427,2002,3
12427,2003,3
12427,2004,3
12427,2005,4
12427,2006,3
12427,2007,5
12427,2008,3
12427,2009,3
12427,2010,3
12427,2011,5
12427,2012,3
12427,2013,4
12427,2014,4
12427,2015,4
12427,2016,4
12427,2017,5
44398,1999,3
44398,2000,3
44398,2001,3
44398,2002,3
44398,2003,5
44398,2004,3
44398,2005,3
44398,2006,3
44398,2007,3
44398,2008,3
44398,2009,3
44398,2010,3
44398,2011,3
44398,2012,4
44398,2013,3
44398,2014,4
44398,2015,3
44398,2016,5
44398,2017,3
36559,1999,3
36559,2000,3
36559,2001,3
36559,2002,3
36559,2003,3
36559,2004,4
36559,2005,4
8204,1999,3
8204,2000,3
8204,2001,3
8204,2002,5
8204,2003,3
8204,2004,3
8204,2005,5
8204,2006,3
8204,2007,5
8204,2008,4
29364,1999,3
29364,2000,3
29364,2001,3
29364,2002,4
29364,2003,4
29364,2004,3
44462,1999,3
39087,1999,5
39087,2000,3
39087,2001,4
39087,2002,3
24685,1999,3
7647,1999,3
7647,2000,3
7647,2001,3
7647,2002,3
7647,2003,3
7647,2004,3
7647,2005,4
7647,2006,3
11516,1999,4
11516,2000,5
11516,2001,2
11516,2002,3
11516,2003,4
11516,2004,3
11516,2005,5
11516,2006,2
23737,1999,4
23737,2000,3
30754,1999,4
30754,2000,3
41572,1999,4
41572,2000,3
3247,1999,3
3247,2000,3
3247,2001,3
12121,1999,3
12121,2000,4
12121,2001,3
12121,2002,3
15347,1999,5
15347,2001,4
15347,2002,3
15347,2003,3
15347,2004,5
15347,2005,5
15347,2006,4
15347,2007,5
15347,2008,3
15347,2009,3
15347,2010,3
15347,2011,3
15347,2012,3
15347,2013,3
15347,2014,3
15347,2015,4
38813,1999,3
38813,2000,3
38813,2001,3
38813,2002,4
38813,2003,3
28423,1999,3
28423,2000,3
28423,2001,3
28423,2002,4
28423,2003,5
28423,2004,5
28423,2005,4
28423,2006,3
28423,2007,3
28423,2008,3
28423,2009,5
28423,2010,3
28423,2011,3
28423,2012,3
28423,2013,3
28423,2014,4
28423,2015,3
28423,2016,3
28423,2017,3
40369,1999,4
23720,1999,4
23720,2000,5
23720,2001,3
23720,2002,3
23720,2003,4
23720,2004,3
23720,2005,3
23720,2006,3
23720,2007,3
23720,2008,4
23720,2010,3
23720,2011,3
23720,2012,3
23720,2013,3
23720,2014,4
23720,2015,3
40958,1999,3
40958,2000,3
40958,2001,3
40958,2002,3
40958,2003,3
4825,1999,3
4825,2001,3
4825,2002,3
4825,2003,4
29868,1999,3
29868,2000,3
29868,2001,3
29868,2002,4
29868,2004,3
29868,2005,3
29868,2006,3
29868,2007,4
29868,2008,3
29868,2009,3
29868,2010,3
29868,2011,3
29868,2012,5
29868,2013,4
17182,1999,3
17182,2000,3
17182,2001,4
17182,2002,3
17182,2003,3
41691,1999,3
41691,2000,3
41691,2001,3
41691,2002,4
41691,2003,3
41691,2004,3
41691,2005,3
41691,2006,4
41691,2007,4
41691,2008,4
41691,2009,5
17617,1999,3
17617,2000,3
17617,2001,3
17617,2002,4
17617,2003,5
17617,2004,3
17617,2005,3
37883,1999,3
37883,2000,3
37883,2001,4
37883,2002,4
37883,2003,3
37883,2004,4
37883,2005,3
37883,2006,3
37883,2007,3
37883,2008,4
37883,2009,5
37883,2010,4
37883,2011,4
37883,2012,3
37883,2013,3
9506,1999,3
9506,2000,3
9506,2001,2
9506,2002,3
9506,2003,3
9506,2004,2
41788,1999,3
41788,2000,3
41788,2001,4
2927,1999,3
2927,2000,4
2927,2001,3
23835,1999,3
23835,2000,3
23835,2001,3
23835,2002,4
23835,2003,3
23835,2004,3
23835,2005,5
23835,2006,3
23835,2007,5
23835,2008,3
23835,2009,3
28900,1999,2
28900,2000,3
25238,1999,4
25238,2000,3
25238,2001,5
25238,2002,5
25238,2003,3
17058,1999,4
39655,1999,3
39655,2000,3
26928,1999,3
26928,2000,3
26928,2001,3
26928,2002,3
26928,2003,3
26928,2004,3
26928,2005,3
13600,1999,3
13600,2000,3
13600,2001,3
13600,2002,3
13600,2003,2
13600,2004,3
25864,1999,3
25864,2000,3
25864,2001,3
25864,2002,3
25864,2003,3
25864,2004,4
25864,2005,5
25864,2006,3
25864,2007,4
25864,2008,3
25864,2009,4
25864,2010,3
25864,2011,3
25864,2012,3
43759,1999,3
43759,2000,3
43759,2001,3
39108,1999,3
39108,2000,3
39108,2001,3
39108,2002,3
39108,2003,3
39108,2004,3
39108,2005,3
39108,2006,3
39108,2007,5
39108,2008,4
39108,2009,5
39108,2010,3
39108,2011,4
39108,2012,4
39108,2013,3
39108,2014,3
39108,2015,3
39108,2016,5
39108,2017,4
403,1999,5
403,2000,3
403,2001,3
403,2002,4
403,2003,5
403,2004,5
403,2005,3
403,2006,3
403,2007,3
403,2008,3
16471,1999,3
16471,2000,4
16471,2001,5
16471,2002,3
16471,2003,3
16471,2004,4
16471,2005,3
16471,2006,3
7034,1999,3
7034,2000,3
7034,2001,3
7034,2002,3
7034,2003,3
7034,2004,3
7034,2005,5
7034,2006,4
7034,2007,3
7034,2008,3
7034,2009,3
7034,2010,3
7034,2011,3
7034,2012,3
7034,2013,3
7034,2014,4
7034,2015,4
7034,2016,3
7034,2017,4
