employee_num,salary_effective_date,salary,salary_increase,starting_salary_flag
6773,1999-01-01,617400,0,Y
6773,2000-03-01,651357,0.055,N
6773,2001-03-01,671549.07,0.031,N
6773,2002-03-01,699754.13,0.042,N
6773,2003-03-01,717247.98,0.025,N
8878,1999-01-01,549600,0,Y
8878,2000-03-01,575431.2,0.047,N
8878,2001-03-01,586939.82,0.02,N
8878,2002-03-01,603961.08,0.029,N
8878,2003-03-01,619060.11,0.025,N
8878,2004-03-01,646917.81,0.045,N
8878,2005-03-01,659856.17,0.02,N
8878,2006-03-01,710005.24,0.076,N
8878,2007-03-01,738405.44,0.04,N
8878,2008-03-01,764249.64,0.035,N
41637,1999-01-01,563400,0,Y
41637,2000-03-01,598330.8,0.062,N
41637,2001-03-01,616280.72,0.03,N
41637,2002-03-01,625524.93,0.015,N
17198,1999-01-01,597600,0,Y
17198,2000-03-01,623296.8,0.043,N
21103,1999-01-01,541800,0,Y
21103,2000-03-01,568348.2,0.049,N
21103,2001-03-01,597333.96,0.051,N
21103,2002-03-01,597333.96,0,N
21103,2003-03-01,624213.99,0.045,N
21103,2004-03-01,651679.4,0.044,N
21103,2005-03-01,671229.78,0.03,N
21103,2006-03-01,718887.1,0.071,N
21103,2007-03-01,759863.66,0.057,N
21103,2008-03-01,813054.12,0.07,N
21103,2009-03-01,821997.71,0.011,N
21103,2010-03-01,837615.67,0.019,N
21103,2011-03-01,845991.83,0.01,N
14721,1999-01-01,592200,0,Y
14721,2000-03-01,627139.8,0.059,N
14721,2001-03-01,646581.13,0.031,N
14721,2002-03-01,660805.92,0.022,N
14721,2003-03-01,683273.32,0.034,N
14721,2004-03-01,716753.71,0.049,N
14721,2005-03-01,745423.86,0.04,N
14721,2006-03-01,784185.9,0.052,N
14721,2007-03-01,822611.01,0.049,N
14721,2008-03-01,856338.06,0.041,N
14721,2009-03-01,882028.2,0.03,N
14721,2010-03-01,917309.33,0.04,N
14721,2010-03-01,956753.63,0.043,N
14721,2010-03-01,973975.2,0.018,N
14721,2010-03-01,1001246.5,0.028,N
14721,2011-03-01,1051308.83,0.05,N
14721,2011-03-01,1069181.08,0.017,N
14721,2011-03-01,1083080.43,0.013,N
14721,2011-03-01,1114489.77,0.029,N
14721,2012-03-01,1126749.15,0.011,N
14721,2012-03-01,1176326.12,0.044,N
14721,2012-03-01,1223379.16,0.04,N
14721,2012-03-01,1277207.84,0.044,N
14721,2013-03-01,1323187.33,0.036,N
14721,2013-03-01,1352297.45,0.022,N
14721,2013-03-01,1380695.7,0.021,N
14721,2013-03-01,1394502.65,0.01,N
14721,2014-03-01,1450282.76,0.04,N
14721,2014-03-01,1511194.63,0.042,N
14721,2014-03-01,1553508.08,0.028,N
14721,2014-03-01,1638951.03,0.055,N
14721,2015-03-01,1712703.82,0.045,N
14721,2015-03-01,1750383.31,0.022,N
