mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__criterion,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_split,param_classifier__n_estimators,param_classifier__oob_score,param_classifier__sampling_strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,mean_train_score,std_train_score
11.443978697061539,0.8073261163956876,0.3021220564842224,0.02595354534899253,entropy,8,,15,152,True,0.15,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 8, 'classifier__max_features': None, 'classifier__min_samples_split': 15, 'classifier__n_estimators': 152, 'classifier__oob_score': True, 'classifier__sampling_strategy': 0.15}",0.7608131936521108,0.7052173011098434,0.6723651827894126,0.6929684774306701,0.7623404462632759,0.6517002825684498,0.7298645620189029,0.7163499951281302,0.7114524301200995,0.036857382722532916,1,0.9078008928559176,0.913157204946526,0.9057176538721758,0.9108141982558903,0.9129212134741478,0.9121385270978083,0.9109421545789007,0.9146875752489239,0.9110224275412864,0.0027706127733980604
19.15077918767929,0.7884047664000263,0.5030019879341125,0.039910192456870566,entropy,8,,15,428,False,0.25,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 8, 'classifier__max_features': None, 'classifier__min_samples_split': 15, 'classifier__n_estimators': 428, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.25}",0.7434064742435242,0.7155425219941348,0.6705924508019726,0.7019735787498469,0.7647861249147423,0.6321933157946019,0.729416349995128,0.7259378349410504,0.7104810814293752,0.03944719215061261,2,0.8956292563919032,0.9014890277061375,0.8960244954085812,0.8996598709474032,0.9011844302585655,0.9014541067911263,0.8961081890733,0.9027925375703121,0.899292739268416,0.0027317793138091125
11.93199223279953,0.8354795932281875,0.3696559965610504,0.025294450183194716,gini,6,,6,288,False,0.3,"{'classifier__criterion': 'gini', 'classifier__max_depth': 6, 'classifier__max_features': None, 'classifier__min_samples_split': 6, 'classifier__n_estimators': 288, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.3}",0.7247362118226136,0.7031051098056595,0.674166203053248,0.687810581701257,0.7664230731754847,0.6475299619994153,0.7437396472766248,0.724447042775017,0.7089947289511651,0.03617007025209589,3,0.8463949437637223,0.8548125937736915,0.848100392278645,0.8527087694244978,0.8509465412130917,0.8580556985461274,0.8560389786011084,0.857039630742188,0.853012193542884,0.003973865151433999
19.946534901857376,0.8750994833189895,0.5096256732940674,0.03040059152078516,entropy,9,,17,423,True,0.25,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 9, 'classifier__max_features': None, 'classifier__min_samples_split': 17, 'classifier__n_estimators': 423, 'classifier__oob_score': True, 'classifier__sampling_strategy': 0.25}",0.7460184250973588,0.7087627650847234,0.6691968958331369,0.6977586255669442,0.7635584137191854,0.6267465653317744,0.7316281788950599,0.7234434375913475,0.7083891633899413,0.0411415029174896,4,0.9070813853205956,0.9098278651740904,0.9056480557318382,0.9083404254818593,0.9101261001221935,0.9106026197260382,0.9058001529077648,0.9109087864985332,0.9085419238703641,0.0020024148176066023
10.744526624679565,0.8725316505505374,0.3888765275478363,0.022336808719617785,entropy,9,log2,15,261,False,0.2,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 9, 'classifier__max_features': 'log2', 'classifier__min_samples_split': 15, 'classifier__n_estimators': 261, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.2}",0.7197291869006421,0.7269049796795881,0.6947034917162497,0.6757880642332462,0.7626230147130468,0.6582383318717724,0.7092662964045601,0.7153171587255189,0.7078213155305781,0.030050300050383193,5,0.8810501124255031,0.89116242813992,0.8861317569256522,0.8906619096827872,0.8875483983516559,0.8924252115946079,0.8862874361567152,0.8883359631023182,0.887950402047395,0.0033854558879959666
10.255436092615128,0.9859551941542769,0.4058122932910919,0.01800562999657996,entropy,18,sqrt,11,237,True,0.25,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 18, 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 11, 'classifier__n_estimators': 237, 'classifier__oob_score': True, 'classifier__sampling_strategy': 0.25}",0.733015247380977,0.7192671450528519,0.6826149682699832,0.6815965903197518,0.7644158628081458,0.6328948650492059,0.7219331579460196,0.726415278183767,0.7077691393763378,0.037832874094708924,6,0.9231891397101305,0.9231834542282439,0.925871902956274,0.9256595796154694,0.9270505465925726,0.9228930008597647,0.9234575263363917,0.9247262939302486,0.9245039305286369,0.0014536145002232031
12.2550667822361,0.7185318194598151,0.4743790328502655,0.04820431204338512,entropy,15,12,5,331,False,0.3,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 15, 'classifier__max_features': 12, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 331, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.3}",0.7317988514959783,0.7154010806121583,0.6661700502588378,0.6898661964526501,0.7780765857936276,0.6276235019000292,0.7255773165741012,0.7274091396277892,0.7077403403393965,0.04294762442560999,7,0.9319975195614887,0.9365441406109855,0.9322159204863792,0.9329836565921888,0.9376092999767008,0.9305832701421247,0.9311657480362592,0.9324368572497912,0.9331920515819898,0.0023625652507998237
17.02545103430748,0.7721549971915671,0.6584384739398956,0.06986802731017563,entropy,12,log2,12,483,True,0.15,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 12, 'classifier__max_features': 'log2', 'classifier__min_samples_split': 12, 'classifier__n_estimators': 483, 'classifier__oob_score': True, 'classifier__sampling_strategy': 0.15}",0.7258017369001707,0.711921622615534,0.6802670413291719,0.674967704217782,0.7669784663353796,0.6452499269219526,0.7255870603137484,0.7304686738770341,0.7076552790638466,0.036093207499020015,8,0.9197462863510596,0.9270372306919565,0.9199546886698736,0.9204557952803052,0.9235371414053387,0.9196246851985049,0.9177195824579905,0.9216812126779972,0.9212195778416283,0.002705938809902227
10.445761233568192,0.7532119030665606,0.39120379090309143,0.03126397483088349,entropy,9,12,13,244,False,0.25,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 9, 'classifier__max_features': 12, 'classifier__min_samples_split': 13, 'classifier__n_estimators': 244, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.25}",0.7326003526605124,0.7095831251001876,0.6700078264231359,0.6888195302260234,0.7601383611029914,0.6506187274676021,0.7153269024651662,0.73413231998441,0.7076533931787536,0.03384822558696032,9,0.901684686703481,0.9089954322054319,0.9024177217646715,0.9068184807961086,0.9068076347728962,0.9054746677729518,0.9034003830109247,0.9052688003765325,0.9051084759253748,0.0023173141501176076
11.294771045446396,0.7670588392095087,0.39860135316848755,0.022101236448002087,gini,10,12,13,273,False,0.25,"{'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__max_features': 12, 'classifier__min_samples_split': 13, 'classifier__n_estimators': 273, 'classifier__oob_score': False, 'classifier__sampling_strategy': 0.25}",0.7373622125203911,0.7086118942772817,0.6730818191247608,0.679399534186382,0.770271850336159,0.6245249926921952,0.7267075903731852,0.7406313943291435,0.7075739109799373,0.043530118232996004,10,0.9087731102585502,0.9115780133397089,0.9074385904239625,0.9099325564612463,0.9100437531636258,0.9085367257678464,0.907484362858946,0.911232320283617,0.9093774290696879,0.0014769108386946206
